TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
TORREMOLINOS_0900_0930,54509,TORREMOLINOS,MÁLAGA,09:00 - 09:30,115,64
TORREMOLINOS_0930_1000,54509,TORREMOLINOS,MÁLAGA,09:30 - 10:00,140,73
TORREMOLINOS_1000_1030,54509,TORREMOLINOS,MÁLAGA,10:00 - 10:30,133,45
TORREMOLINOS_1030_1100,54509,TORREMOLINOS,MÁLAGA,10:30 - 11:00,181,54
TORREMOLINOS_1100_1130,54509,TORREMOLINOS,MÁLAGA,11:00 - 11:30,119,76
TORREMOLINOS_1130_1200,54509,TORREMOLINOS,MÁLAGA,11:30 - 12:00,100,75
TORREMOLINOS_1200_1230,54509,TORREMOLINOS,MÁLAGA,12:00 - 12:30,83,95
TORREMOLINOS_1230_1300,54509,TORREMOLINOS,MÁLAGA,12:30 - 13:00,77,85
TORREMOLINOS_1300_1330,54509,TORREMOLINOS,MÁLAGA,13:00 - 13:30,91,63
TORREMOLINOS_1330_1400,54509,TORREMOLINOS,MÁLAGA,13:30 - 14:00,75,106
TORREMOLINOS_1400_1430,54509,TORREMOLINOS,MÁLAGA,14:00 - 14:30,150,93
TORREMOLINOS_1430_1500,54509,TORREMOLINOS,MÁLAGA,14:30 - 15:00,68,150
TORREMOLINOS_1500_1530,54509,TORREMOLINOS,MÁLAGA,15:00 - 15:30,108,86
TORREMOLINOS_1530_1600,54509,TORREMOLINOS,MÁLAGA,15:30 - 16:00,71,128
TORREMOLINOS_1600_1630,54509,TORREMOLINOS,MÁLAGA,16:00 - 16:30,84,90
TORREMOLINOS_1630_1700,54509,TORREMOLINOS,MÁLAGA,16:30 - 17:00,75,86
TORREMOLINOS_1700_1730,54509,TORREMOLINOS,MÁLAGA,17:00 - 17:30,76,93
TORREMOLINOS_1730_1800,54509,TORREMOLINOS,MÁLAGA,17:30 - 18:00,64,86
TORREMOLINOS_1800_1830,54509,TORREMOLINOS,MÁLAGA,18:00 - 18:30,81,70
TORREMOLINOS_1830_1900,54509,TORREMOLINOS,MÁLAGA,18:30 - 19:00,68,83
TORREMOLINOS_1900_1930,54509,TORREMOLINOS,MÁLAGA,19:00 - 19:30,45,61
TORREMOLINOS_1930_2000,54509,TORREMOLINOS,MÁLAGA,19:30 - 20:00,29,97
TORREMOLINOS_2000_2030,54509,TORREMOLINOS,MÁLAGA,20:00 - 20:30,26,50
TORREMOLINOS_2030_2100,54509,TORREMOLINOS,MÁLAGA,20:30 - 21:00,49,83
TORREMOLINOS_2100_2130,54509,TORREMOLINOS,MÁLAGA,21:00 - 21:30,41,48
TORREMOLINOS_2130_2200,54509,TORREMOLINOS,MÁLAGA,21:30 - 22:00,58,66
TORREMOLINOS_2200_2230,54509,TORREMOLINOS,MÁLAGA,22:00 - 22:30,27,41
TORREMOLINOS_2230_2300,54509,TORREMOLINOS,MÁLAGA,22:30 - 23:00,7,18
TORREMOLINOS_2300_2330,54509,TORREMOLINOS,MÁLAGA,23:00 - 23:30,11,21
TORREMOLINOS_2330_0000,54509,TORREMOLINOS,MÁLAGA,23:30 - 00:00,17,11
EL_PINILLO_0000_0030,54510,EL PINILLO,MÁLAGA,00:00 - 00:30,2,1
EL_PINILLO_0030_0100,54510,EL PINILLO,MÁLAGA,00:30 - 01:00,3,1
EL_PINILLO_0530_0600,54510,EL PINILLO,MÁLAGA,05:30 - 06:00,3,4
EL_PINILLO_0600_0630,54510,EL PINILLO,MÁLAGA,06:00 - 06:30,10,3
EL_PINILLO_0630_0700,54510,EL PINILLO,MÁLAGA,06:30 - 07:00,2,2
EL_PINILLO_0700_0730,54510,EL PINILLO,MÁLAGA,07:00 - 07:30,36,9
EL_PINILLO_0730_0800,54510,EL PINILLO,MÁLAGA,07:30 - 08:00,61,49
EL_PINILLO_0800_0830,54510,EL PINILLO,MÁLAGA,08:00 - 08:30,104,31
EL_PINILLO_0830_0900,54510,EL PINILLO,MÁLAGA,08:30 - 09:00,70,44
EL_PINILLO_0900_0930,54510,EL PINILLO,MÁLAGA,09:00 - 09:30,50,32
EL_PINILLO_0930_1000,54510,EL PINILLO,MÁLAGA,09:30 - 10:00,61,34
EL_PINILLO_1000_1030,54510,EL PINILLO,MÁLAGA,10:00 - 10:30,37,9
EL_PINILLO_1030_1100,54510,EL PINILLO,MÁLAGA,10:30 - 11:00,61,17
EL_PINILLO_1100_1130,54510,EL PINILLO,MÁLAGA,11:00 - 11:30,28,12
EL_PINILLO_1130_1200,54510,EL PINILLO,MÁLAGA,11:30 - 12:00,69,34
EL_PINILLO_1200_1230,54510,EL PINILLO,MÁLAGA,12:00 - 12:30,25,18
EL_PINILLO_1230_1300,54510,EL PINILLO,MÁLAGA,12:30 - 13:00,36,36
EL_PINILLO_1300_1330,54510,EL PINILLO,MÁLAGA,13:00 - 13:30,22,22
EL_PINILLO_1330_1400,54510,EL PINILLO,MÁLAGA,13:30 - 14:00,33,58
EL_PINILLO_1400_1430,54510,EL PINILLO,MÁLAGA,14:00 - 14:30,31,30
EL_PINILLO_1430_1500,54510,EL PINILLO,MÁLAGA,14:30 - 15:00,44,83
EL_PINILLO_1500_1530,54510,EL PINILLO,MÁLAGA,15:00 - 15:30,23,44
EL_PINILLO_1530_1600,54510,EL PINILLO,MÁLAGA,15:30 - 16:00,30,86
